,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
133,Immoweb code : 9081273,100000€,RO-ChausséedeMaubeuge4567022—HYON,Houseforsale,120,2,Not installed,5,No,,,,170,3,,Good
134,Immoweb code : 9148498,99900€,RuedelaLibération43Box85060—AUVELAIS,Apartmentforsale,,2,,,No,,,,,,,
135,Immoweb code : 9305057,98000€,Abdijstraat639500—Geraardsbergen,Houseforsale,140,2,USA semi equipped,10,No,,,,60,2,,To be done up
136,Immoweb code : 8929256,50000€ + 995€ per month,8400—Oostende|Askfortheexactaddress,Apartmentforsale,110,2,Installed,,No,,,,,3,,
137,Immoweb code : 9052411,82500€,FranklinRoosevelt43Box217080—Frameries,Apartmentforsale,70,2,,,No,,,,,2,,Good
138,Immoweb code : 9215275,99000€,Helmstraat1762140—AntwerpenBorgerhout,Apartmentforsale,42,1,Installed,2,No,,,,,4,,
139,Immoweb code : 8796340,10000€ + 395€ per month,5030—LONZEE|Askfortheexactaddress,Houseforsale,110,2,Semi equipped,,No,,,,326,4,,Good
140,Immoweb code : 9103231,50000€ + 1460€ per month,7033—Cuesmes|Askfortheexactaddress,Villaforsale,140,2,Installed,20,No,1,,,800,4,,Good
141,Immoweb code : 9273395,55000€,7012—Jemappes|Askfortheexactaddress,Houseforsale,145,3,Semi equipped,,No,,,,240,3,,Good
142,Immoweb code : 9271732,69500€,RueFroidmont4014520—MOHA,Houseforsale,,2,Semi equipped,,No,,,,115,3,,To renovate
143,Immoweb code : 9078838,69500€,7340—PÂTURAGES|Askfortheexactaddress,Houseforsale,70,2,Semi equipped,,No,,,250,300,3,,To renovate
144,Immoweb code : 8556349,99000€,RueduCentre104800—Verviers,Houseforsale,140,4,,,No,,,,50,2,No,To renovate
145,Immoweb code : 9247971,100000€ + 845€ per month,QuartiercalmeprèsduHarasduBouly16200—Châtelet,Villaforsale,150,3,Installed,,,,,,960,4,,As new
146,Immoweb code : 9183283,80000€,7140—MORLANWELZ-MARIEMONT|Askfortheexactaddress,Apartmentforsale,121,2,Semi equipped,,No,,,,,2,,To renovate
147,Immoweb code : 9314979,87000€,5600—Neuville(Philippeville)|Askfortheexactaddress,Houseforsale,64,1,Hyper equipped,,No,,South,1700,1774,4,,
148,Immoweb code : 9083056,50000€ + 690€ per month,ProchedeNeuville-en-Condroz4400—Ivoz-Ramet,Villaforsale,130,4,Installed,,,,,,900,4,,As new
149,Immoweb code : 9282008,69000€,camillehuysmans397390—Quaregnon,Houseforsale,160,3,Not installed,,No,,,340,400,3,,To renovate
150,Immoweb code : 9215252,70000€,RueRiga154684—Oupeye,Houseforsale,163,4,Installed,18,No,,South,4,20,,,To renovate
151,Immoweb code : 9201786,85000€,RuedeBoussu1117370—Dour,Houseforsale,116,4,,,No,,,,112,2,,To renovate
152,Immoweb code : 8859397,85000€,7390—Quaregnon|Askfortheexactaddress,Houseforsale,140,2,Semi equipped,,No,,,,179,3,,To restore
153,Immoweb code : 9078794,89500€,7340—Colfontaine|Askfortheexactaddress,Houseforsale,100,2,USA installed,15,No,,,340,420,2,,To be done up
154,Immoweb code : 9288671,95000€,Ruedelabergerie224100—Seraing,Houseforsale,76,3,,13,No,,,,189,2,,To renovate
155,Immoweb code : 9217520,95000€,RueFondCollin84610—Beyne-Heusay,Houseforsale,125,2,Not installed,20,No,,,145,291,4,,To renovate
156,Immoweb code : 9278866,95000€,Botermelkstraat789500—Geraardsbergen,Houseforsale,137,2,Installed,27,No,,,,109,2,,To renovate
157,Immoweb code : 8649185,99000€,7340—PÂTURAGES|Askfortheexactaddress,Houseforsale,200,3,Not installed,,No,,,270,270,2,,To restore
158,Immoweb code : 9301006,90000€,7321—Blaton|Askfortheexactaddress,Houseforsale,105,2,Semi equipped,,No,,,386,491,,,To renovate
159,Immoweb code : 8989467,99000€,ChausséeImpériale526060—Gilly,Apartmentforsale,92,3,,,No,,,,,,,
160,Immoweb code : 8665248,60000€ + 1115€ per month,6698—Grand-Halleux|Askfortheexactaddress,Villaforsale,162,4,Installed,,No,,South,,1059,4,,As new
161,Immoweb code : 9131183,63000€,RuedesHautesMezelles234800—Verviers,Houseforsale,35,1,Semi equipped,,No,,,,20,2,,To be done up
162,Immoweb code : 9201787,65000€,RueJulesPitot107380—Quiévrain,Houseforsale,114,3,Not installed,,No,,,,94,2,,To renovate
163,Immoweb code : 9226357,89000€,Encherave14557—TinlotRamelot,Houseforsale,,1,Not installed,,,,,,,3,,To renovate
164,Immoweb code : 8963367,90000€,7130—Binche|Askfortheexactaddress,Houseforsale,116,2,Semi equipped,,No,,,,33,2,,To be done up
165,Immoweb code : 9180259,100000€,6141—Forchies-la-Marche|Askfortheexactaddress,Houseforsale,116,3,Semi equipped,,No,,,,124,2,,To renovate
166,Immoweb code : 9302995,80000€,DendermondseSteenweg70Box29300—Aalst,Apartmentforsale,32,1,Semi equipped,8,,,,,,,,To be done up
167,Immoweb code : 9298569,95000€,Ruedel'Epine696183—Trazegnies,Houseforsale,109,2,Not installed,,No,,,,240,3,,To be done up
168,Immoweb code : 9164245,75000€,RuedeJupille1254600—Vise,Studioforsale,36,1,,,No,,,,,4,,To be done up
169,Immoweb code : 9196573,86000€,Casinostraat168370—Blankenberge,Studioforsale,25,,,,,,,,,,No,Good
170,Immoweb code : 9091287,97000€,"EmmanueldeNeckerestraat38,8000—Brugge",Studioforsale,35,1,Installed,,No,,,,,2,No,Good
171,Immoweb code : 9180799,97500€,RueTheodoreCuitte28Box14020—Liege,Apartmentforsale,75,1,Semi equipped,37,No,,,,,2,,
172,Immoweb code : 9310740,99000€,PlaceduMarche674870—Trooz,Houseforsale,70,1,Semi equipped,,No,,,,,2,,Good
173,Immoweb code : 7833873,50000€,7141—Carnières|Askfortheexactaddress,Houseforsale,114,2,Not installed,,No,,,,1010,3,,To restore
174,Immoweb code : 8944998,59000€,Ruelestrous464260—BraivesFumal,Houseforsale,93,2,Not installed,,No,,,,,4,,To renovate
175,Immoweb code : 9247754,69000€,6200—Châtelet|Askfortheexactaddress,Houseforsale,86,2,Not installed,,No,,South East,120,188,2,,To renovate
176,Immoweb code : 9101838,75000€,RO-RuePaulPastur1377390—Quaregnon,Houseforsale,135,2,Semi equipped,,No,,,421,421,2,,Good
177,Immoweb code : 9013515,79500€,7340—PÂTURAGES|Askfortheexactaddress,Houseforsale,85,2,USA semi equipped,12,No,,,250,300,2,,To be done up
178,Immoweb code : 8993008,82500€,7370—Dour|Askfortheexactaddress,Houseforsale,107,2,Semi equipped,,No,,,,165,2,,To renovate
179,Immoweb code : 9131184,87500€,RuedesHautesMezelles214800—Verviers,Houseforsale,55,1,Semi equipped,,No,,,,,2,,Good
180,Immoweb code : 9119280,99000€,7180—Seneffe|Askfortheexactaddress,Houseforsale,125,2,Not installed,,No,,,150,342,2,,
181,Immoweb code : 9189846,100000€,6560—Erquelinnes|Askfortheexactaddress,Houseforsale,106,2,Semi equipped,,No,,,,307,3,,To be done up
182,Immoweb code : 9235966,30000€ + 138€ per month,8450—Bredene|Askfortheexactaddress,Apartmentforsale,37,1,Installed,,No,,,,,2,,
183,Immoweb code : 9307477,60000€,RuedelaRégence(ML)146001—Marcinelle,Houseforsale,,2,Installed,,,,,,,2,,To renovate
184,Immoweb code : 9079753,From 5000€ To 445000€,"Aartshertogstraat92,8400—Oostende",NieuwbouwprojectResidentieBelAirI,,,,,,,,,,,,
185,Immoweb code : 9273922,From 90000€ To 355000€,"Velle80,9140—Temse",VelleVista,,,,,,,,,,,,
186,Immoweb code : 8910582,35000€ + 250€ per month,Frontièrefrançaise7783—Bizet,Houseforsale,90,4,Not installed,,,,,,116,2,,To renovate
187,Immoweb code : 9174246,70000€,RuedelaPerche567340—PATURAGES,Houseforsale,97,2,Semi equipped,,No,,,,,2,,Good
188,Immoweb code : 9074709,99000€,RuedeDour2957300—Boussu,Houseforsale,,2,Semi equipped,13,No,,,,730,3,,Good
189,Immoweb code : 9122193,100000€,*JO-RueAchilleDelattre2417390—Quaregnon,Houseforsale,86,2,Semi equipped,6,No,,,11,121,2,,Good
